FECHA,max_SO2,min_SO2,mean_SO2,median_SO2,max_PART,min_PART,mean_PART,median_PART,max_NO2,min_NO2,mean_NO2,median_NO2,max_CO,min_CO,mean_CO,median_CO,max_O3,min_O3,mean_O3,median_O3
2015-01-26,10,2,6.84259259259259,7,49,5,12.2592592592593,5,73,5,20.2314814814815,16,461,50,169.601851851852,182,99,18,65.5046296296296,68
2015-01-27,13,1,5.93253968253968,7,65,5,17.4285714285714,5,125,5,32.0039682539683,23,1280,50,239.083333333333,223,88,1,44.1547619047619,48
2015-01-28,11,2,6.13888888888889,7,63,5,18.1458333333333,5,104,6,30.9756944444444,24,710,50,194.197916666667,200,103,4,48.7291666666667,49
2015-01-29,21,1,5.94964028776978,7,91,5,21.3812949640288,5,75,5,19.9280575539568,17,720,7,166.622302158273,129,84,1,50.6762589928058,54
2015-01-30,8,1,4.60283687943262,4,19,5,6.20567375886525,5,24,4,9.47163120567376,8,267,7,60.9787234042553,54,69,42,60.0035460992908,61
2015-01-31,7,1,4.76388888888889,5,16,5,6.25694444444444,5,26,4,7.75347222222222,6.5,186,50,71.1284722222222,61,87,59,70.9965277777778,68
2015-02-01,8,2,5.98958333333333,6,20,5,6.90625,5,44,5,10.4097222222222,8,320,50,144.854166666667,153,84,40,71.8576388888889,73
2015-02-02,7,4,5.5,5.5,8,5,6.5,6.5,13,6,9.5,9.5,179,56,117.5,117.5,74,69,71.5,71.5
2015-02-03,15,1,5.19649122807018,6,20,5,6.65263157894737,5,36,4,11.1017543859649,7,398,50,121.628070175439,104,83,53,71.3087719298246,73
2015-02-04,13,1,5.35416666666667,6,31,5,6.49305555555556,5,54,4,12.3229166666667,7,350,50,140.951388888889,140,83,44,72.1006944444444,74
2015-02-05,15,2,7.56597222222222,7,26,5,7.36458333333333,5,73,4,15.3541666666667,9,444,50,156.364583333333,175,87,20,66.9270833333333,71
2015-02-06,19,4,8.46875,8,59,5,12.3402777777778,5,110,5,25.96875,18,631,7,208.909722222222,195,92,5,55.5625,60.5
2015-02-07,11,6,8.31597222222222,8,50,5,15.5243055555556,7.5,61,7,20.8229166666667,17,686,50,218.482638888889,210,82,3,51.5451388888889,51
2015-02-08,14,6,8.90972222222222,8,48,5,12.5902777777778,5,90,5,20.1736111111111,13,827,50,210.725694444444,179.5,95,5,52.8506944444444,47
2015-02-09,14,1,7.09375,7,48,5,12.4166666666667,5,95,5,17.0416666666667,12,818,7,214.486111111111,192,99,4,64.1284722222222,77
2015-02-10,8,2,5.73263888888889,6,27,5,9.64236111111111,5,22,4,8.32291666666667,7,211,50,106.763888888889,124,101,51,81.1076388888889,87
2015-02-11,21,1,5.37152777777778,7,101,5,27.78125,7,97,4,18.0208333333333,10,465,50,145.371527777778,129.5,109,3,71.9027777777778,78
2015-02-12,9,1,5.58333333333333,6,91,5,26.7465277777778,6.5,95,6,23.5520833333333,15,827,50,218.534722222222,170,92,2,51.9131944444444,58.5
2015-02-13,13,1,5.45551601423488,7,91,5,29.2740213523132,27,81,6,27.0925266903915,21,784,50,180.231316725979,151,97,2,53.7722419928826,60
2015-02-14,8,1,5.25,6.5,36,5,10.3784722222222,5,25,4,9.65625,7.5,322,50,94.4131944444444,88,96,55,82.5486111111111,84
2015-02-15,8,1,5.17013888888889,5.5,22,5,6.62152777777778,5,55,4,8.90625,7,472,50,122.395833333333,80,88,10,73.9131944444444,77
2015-02-16,20,1,4.56317689530686,7,61,5,11.6678700361011,5,58,4,17.3032490974729,14,6229,7,331.472924187726,150,73,1,44.8375451263538,45
2015-02-17,12,1,5.60069444444444,7,26,5,8.10763888888889,5,41,4,13.1111111111111,11,789,51,179.59375,136,86,6,59.0104166666667,64
2015-02-18,28,1,7.65625,7,22,5,7.16666666666667,5,47,4,11.5069444444444,10,464,7,177.038194444444,153.5,102,8,72.9201388888889,74
2015-02-19,9,1,5.1875,6.5,27,5,9.59722222222222,5,51,5,10.2569444444444,9,640,53,207.118055555556,167.5,113,25,93.5416666666667,96
2015-02-20,9,1,5.31597222222222,6,50,5,15.0520833333333,5,103,6,21.0798611111111,13,421,59,207.885416666667,190,127,5,77.2986111111111,79.5
2015-02-21,9,1,4.61458333333333,5.5,32,5,12.0277777777778,5,63,5,17.5138888888889,15,546,61,197.409722222222,187.5,99,4,66.9444444444444,74
2015-02-22,8,1,4.89236111111111,5.5,36,5,11.8125,5,60,6,14.6319444444444,12,436,55,171.4375,157.5,93,5,57.84375,54
2015-02-23,9,1,4.78048780487805,7,35,5,11.8606271777003,5,50,5,16.8118466898955,13,902,7,159.393728222997,125,85,8,52.219512195122,55
2015-02-24,9,1,5.20833333333333,6.5,25,5,9.18402777777778,5,50,5,11.5451388888889,8,322,50,152.53125,143,95,40,78.0694444444444,80
2015-02-25,9,1,5.9136690647482,7,65,5,12.6187050359712,5,67,6,18.4532374100719,15,592,55,194.478417266187,165,92,8,64.2230215827338,74.5
2015-02-26,9,1,5.42361111111111,7,45,5,12.3715277777778,5,92,5,21.6006944444444,16,1065,53,221.572916666667,220,84,3,59.4270833333333,61
2015-02-27,16,1,5.37152777777778,7,52,5,12.5659722222222,5,48,6,15.7881944444444,13.5,737,50,135.6875,93,83,8,58.9097222222222,65
2015-02-28,9,1,4.8125,6,44,5,13.0972222222222,5,41,6,15.125,13,501,50,150.454861111111,133,111,15,70.3194444444444,73
2015-03-01,8,1,4.52430555555556,5.5,42,5,13.8888888888889,5,72,6,19.3298611111111,15,769,50,207.809027777778,192.5,88,7,52.7361111111111,54
2015-03-02,10,1,5.45519713261649,7,52,5,14.84229390681,5,113,7,26.5448028673835,21,792,75,231.068100358423,202,111,4,47.0824372759857,40
2015-03-03,12,1,5.53472222222222,7,70,5,16.5104166666667,5,89,6,25.5590277777778,22,711,7,181.416666666667,117,98,2,42.8055555555556,43
2015-03-04,12,1,5.08680555555556,7,62,5,16.5486111111111,5,59,6,20.7118055555556,18,624,7,193.055555555556,155,101,2,49.5868055555556,45
2015-03-05,20,1,6.04166666666667,7,40,5,11.2777777777778,5,144,6,18.6145833333333,11,1188,50,173.368055555556,177,118,6,79.7222222222222,82
2015-03-06,19,1,6.64583333333333,7,91,5,19.84375,5,160,6,32.4583333333333,23,1036,50,247.784722222222,235,136,3,67.3923611111111,65.5
2015-03-07,13,7,10,10,5,5,5,5,13,6,9.5,9.5,169,50,109.5,109.5,92,92,92,92
2015-03-08,16,1,7.12237762237762,8,69,5,20.3986013986014,8.5,137,6,31.5734265734266,20,848,50,267.853146853147,241.5,125,2,75.020979020979,80
2015-03-09,27,1,8.34027777777778,9,72,5,20.0902777777778,6.5,177,6,33.8715277777778,22,1566,7,264.197916666667,210.5,128,1,68.96875,69.5
2015-03-10,20,1,7.70318021201413,9,72,5,21.0070671378092,14,152,6,31.6819787985866,23,832,50,273.957597173145,221,142,4,74.4310954063604,73
2015-03-11,36,1,7.76736111111111,8,86,5,19.4513888888889,5,125,8,32.6180555555556,22,1199,7,282.392361111111,220,127,1,75.5763888888889,78
2015-03-12,18,1,7.27430555555556,8,85,5,20.0104166666667,5,127,7,24.3263888888889,19,664,51,202.072916666667,170,126,6,86.6388888888889,92.5
2015-03-13,21,1,6.02083333333333,8,82,5,28.4131944444444,17,92,8,26.2881944444444,23,910,54,272.833333333333,205.5,107,4,63.90625,65.5
2015-03-14,17,1,7.01041666666667,7,99,5,26.0104166666667,5,80,6,22.0763888888889,17,844,50,142.423611111111,146,106,7,60.8090277777778,58
2015-03-15,14,1,5.78125,7,32,5,10.96875,5,75,5,16.84375,13,1563,50,187.902777777778,186,108,30,74.5208333333333,74
2015-03-16,11,1,5.21660649819495,7,56,5,16.043321299639,5,90,7,22.7400722021661,17,1349,50,177.563176895307,169,110,6,72.4151624548737,76
2015-03-17,21,1,6.42361111111111,7,63,5,17.4340277777778,5,101,7,15.4826388888889,12.5,888,52,189.652777777778,173.5,106,8,82.4756944444444,86
2015-03-18,14,1,5.72569444444444,7,67,5,11.5277777777778,5,87,5,20.2326388888889,13,847,69,243.315972222222,158.5,93,2,66.4097222222222,74
2015-03-19,8,3,4.67708333333333,4,102,5,20.0763888888889,5,85,6,22.15625,18,713,7,228.371527777778,181.5,97,3,62.3333333333333,64
2015-03-20,6,1,3.64236111111111,4,75,5,21.3715277777778,5,85,6,23.0208333333333,17,899,52,242.861111111111,151,101,3,67.3263888888889,72
2015-03-21,9,1,4.50694444444444,4,51,5,12.1458333333333,5,59,5,17.4340277777778,15,349,64,180.993055555556,168.5,99,8,67.5416666666667,68
2015-03-22,11,1,3.26041666666667,2,32,5,10.5833333333333,5,47,7,14.7638888888889,14,407,101,198.8125,178,97,27,71.5,74
2015-03-23,9,1,3.25,3,29,5,10.7222222222222,5,62,6,18.5486111111111,16,539,7,182.239583333333,157,98,3,60.0138888888889,64
2015-03-24,13,1,5.22569444444444,4,22,5,9.57291666666667,5,54,5,16.5104166666667,14.5,392,62,212.069444444444,202.5,94,18,66.3263888888889,68.5
2015-03-25,19,1,4.07857142857143,4,23,5,7.77857142857143,5,58,3,14.3178571428571,13,481,61,209.753571428571,185,92,24,70.8357142857143,74
2015-03-26,14,2,5.50694444444444,4,40,5,9.06597222222222,5,116,5,16.5451388888889,14,444,50,158.590277777778,150,96,18,68.8680555555556,72
2015-03-27,10,1,4.61111111111111,4,39,5,10.1493055555556,5,97,4,19.8472222222222,13,911,75,212.243055555556,183.5,93,3,54.8611111111111,59.5
2015-03-28,11,2,4.89583333333333,4,53,5,13.3611111111111,5,95,5,24.5208333333333,16,661,50,172.618055555556,121,109,3,56.0208333333333,50
2015-03-29,11,2,4.48550724637681,4,28,5,10.1811594202899,5,54,6,16.6123188405797,12,309,50,128.974637681159,133.5,104,5,68.8007246376812,72
2015-03-30,12,1,4.44285714285714,4,50,5,12.5785714285714,5,126,6,26.3107142857143,16.5,780,7,208.414285714286,163,116,3,61.9785714285714,59
2015-03-31,7,1,3.95486111111111,4,36,5,12.6666666666667,5,126,7,27.9583333333333,21,689,51,167.975694444444,126.5,123,5,68.9340277777778,68
2015-04-01,11,2,4.47569444444444,4,56,5,13.4201388888889,5,99,8,25.8854166666667,19,915,50,157.274305555556,129,136,4,79.4513888888889,83
2015-04-02,8,1,3.73263888888889,4,41,5,11.0486111111111,5,124,7,21.4166666666667,16,323,51,163.510416666667,149,137,3,80.1388888888889,81
2015-04-03,5,1,3.98263888888889,4,35,5,10.5625,5,55,6,17.6215277777778,15,313,51,149.972222222222,141.5,138,29,89.5173611111111,86
2015-04-04,5,3,4.08333333333333,4,49,5,12.9166666666667,5,123,5,20.2847222222222,14,913,60,220.590277777778,127.5,128,3,89.1597222222222,91
2015-04-05,5,3,4.15972222222222,4,41,5,14.2847222222222,5.5,88,6,14.9131944444444,12,433,57,153.958333333333,136,121,6,86.1145833333333,87
2015-04-06,13,1,5.10416666666667,4,37,5,13.0173611111111,5,43,6,11.0729166666667,10,342,53,128.378472222222,120,111,8,77.1423611111111,86.5
